SKU,Descripción,Precio
007CAÑAA,"Almeja 9x6"" blanca lisa Caña Azúcar CAJA 250 Pzas. CA*2",0
007CAÑAAP,"Almeja 9x6"" blanca lisa Caña Azúcar PQTE 50 Pzas. CA*2",0
006CAÑAA,"Almeja 9x9"" blanca c/3 div Caña Azúcar CAJA 200 Pzas. CA*2",0
006CAÑAAP,"Almeja 9x9"" blanca c/3 div Caña Azúcar PQTE 50 Pzas. CA*2",0
005CAÑAA,"Almeja 9x9"" blanca lisa Caña Azúcar CAJA 200 Pzas. CA*2",0
005CAÑAAP,"Almeja 9x9"" blanca lisa Caña Azúcar PQTE 50 Pzas. CA*2",0
009CAÑAA,"Copa soufflé 2 oz blanca Caña Azúcar CAJA 2,000 Pzas. CA",0
009CAÑAAP,Copa soufflé 2 oz blanca Caña Azúcar PQTE 100 Pzas. CA,0
001CAÑAA,"Hamburguesero 6x6"" blanco Caña Azúcar CAJA 500 Pzas. CA*2",0
001CAÑAAP,"Hamburguesero 6x6"" blanco Caña Azúcar PQTE 50 Pzas. CA*2",0
002CAÑAA,"Hamburguesero bombacho 6x6"" blanco Caña Azúcar CAJA 500 Pzas. CA*2",0
002CAÑAAP,"Hamburguesero bombacho 6x6"" blanco Caña Azúcar PQTE 50 Pzas. CA*2",0
010CAÑAA,"Tapa soufflé 2 oz blanca Caña Azúcar CAJA 2,000 Pzas. CA",0
010CAÑAAP,Tapa soufflé 2 oz blanca Caña Azúcar PQTE 100 Pzas. CA,0
020CAÑAA,Charola Bioform chica 16.1x14.1x3.8 cm Caña Azúcar CAJA 600 Pzas. CA,0
020CAÑAAP,Charola Bioform chica 16.1x14.1x3.8 cm Caña Azúcar PQTE 50 Pzas. CA,0
016CAÑAA,Charola Bioform grande 21x15.3x4.5 cm Caña Azúcar CAJA 500 Pzas. CA,0
016CAÑAAP,Charola Bioform grande 21x15.3x4.5 cm Caña Azúcar PQTE 50 Pzas. CA,0
015.0CAÑAA,Charola rectangular 21x15.5x3 cm blanca Caña Azúcar CAJA 600 Pzas. CA*2,0
015.0CAÑAAP,Charola rectangular 21x15.5x3 cm blanca Caña Azúcar PQTE 50 Pzas. CA*2,0
015.1CAÑAA,Charola rectangular 27.3x13.8x3 cm blanca Caña Azúcar CAJA 500 Pzas. CA*2,0
015.1CAÑAAP,Charola rectangular 27.3x13.8x3 cm blanca Caña Azúcar PQTE 50 Pzas. CA*2,0
013.0CAÑAA,"Plato 10x10"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",0
013.0CAÑAAP,"Plato 10x10"" blanco cuadrado Caña Azúcar PQTE 50 Pzas. CA*3",0
013.1CAÑAA,"Plato 6"" liso blanco Caña Azúcar CAJA 1000 Pzas. CA*2",0
013.1CAÑAAP,"Plato 6"" liso blanco Caña Azúcar PQTE 125 Pzas. CA*2",0
011CAÑAA,"Plato 6x6"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",0
011CAÑAAP,"Plato 6x6"" blanco cuadrado Caña Azúcar PQTE 50 Pzas. CA*3",0
013.2CAÑAA,"Plato 7"" liso blanco Caña Azúcar CAJA 1000 Pzas. CA*2",0
013.2CAÑAAP,"Plato 7"" liso blanco Caña Azúcar PQTE 125 Pzas. CA*2",0
012CAÑAAP,"Plato 8x8"" blanco cuadrado Caña Azúcar PQTE 50 Pzas. CA*3",0
012CAÑAA,"Plato 8x8"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",0
014CAÑAA,"Tazón 12 oz (360 ml) blanco Caña Azúcar CAJA 1,000 Pzas. CA*2",0
014CAÑAAP,Tazón 12 oz (360 ml) blanco Caña de Azúcar PQTE 50 Pzas. CA*2,0
002ENV,Servicio de Envío - Transporte Aéreo,0
001ENV,Servicio de Envío - Transporte Terrestre,0
003ENV,Servicio de Envío RAM-Tansporte terrestre,0
046.2FMAIZP,Agitador estuchado (2 piezas) natural Fécula Maíz PQTE 250 sobres. FM*1,0
046.2FMAIZ,Agitador estuchado (2piezas) Fécula Maíz CAJA 500 sobres. FM.,0
046.0FMAIZ,"Agitador Fécula Maíz CAJA 2,000 Pzas. FM",0
046.0FMAIZP,Agitador Fécula Maíz PQTE 100 Pzas. FM,0
048FMAIZ,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz CAJA 140 Pzas. FM,0
048FMAIZP,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz PQTE c/7 Pzas. FM,0
047FMAIZ,"Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz CAJA 2,000 Pzas. FM",0
047FMAIZP,Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz PQTE 100 Pzas. FM,0
013FMAIZ,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz CAJA 400 Pzas. FM*1",0
